,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Andrés Langebaek,@ALangebaek,2021-12-01T20:43:12.000Z,"Andrés Langebaek
@ALangebaek
·
1 dic.","La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.
1
7
19",,1,7,19,['https://pbs.twimg.com/media/FFjL57eXMAISBnk?format=jpg&name=small'],https://twitter.com/ALangebaek/status/1466145880629723138
1,Plaza Futura,@plaza_futura,2021-12-01T21:18:10.000Z,"Plaza Futura
@plaza_futura
·
1 dic.","Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia.
 Banco Cuscatlán
 Banco Fedecrédito
 Davivienda
 Bancoagrícola
 Banco Promerica",✅ ✅ ✅ ✅ ✅,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1466153640050184199/pu/img/O-Lo8U_Oz5X0_BAU.jpg'],https://twitter.com/plaza_futura/status/1466154682812878859
2,Julián Martinez,@JulianM998,2021-12-01T22:49:11.000Z,"Julián Martinez
@JulianM998
·
1 dic.","Señores 
@Davivienda
 no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.
1
1",,1,,1,[],https://twitter.com/JulianM998/status/1466177584467746816
3,Ferchis.,@fergomezr28,2021-12-01T12:29:07.000Z,"Ferchis.
@fergomezr28
·
1 dic.","Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros 
@Davivienda
, sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando 
@Davivienda
?
2
1
2",,2,1,2,[],https://twitter.com/fergomezr28/status/1466021543432142850
4,MirandaL2,@MirandaSuspLo,2021-12-01T20:52:36.000Z,"MirandaL2
@MirandaSuspLo
·
1 dic.","Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de 
@Davivienda
 dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!
3
8",,3,,8,[],https://twitter.com/MirandaSuspLo/status/1466148246905044996
5,John Jairo Peralta Bernal,@JohnJairoPe,2021-12-01T16:11:03.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
1 dic.","Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde
Banco Davivienda
@Davivienda
 · 30 nov.
En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data.
Mostrar este hilo
1",,,1,,"['https://pbs.twimg.com/profile_images/1002552048620134400/qZ1XCo_9_mini.jpg', 'https://pbs.twimg.com/media/FFcnjiBXIAEy2zc?format=jpg&name=small']",https://twitter.com/JohnJairoPe/status/1466077392858877952
6,Universidad El Bosque,@U_ElBosque,2021-12-01T15:00:26.000Z,"Universidad El Bosque
@U_ElBosque
·
1 dic.","Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda. 
https://bddy.me/3EcTA8x",,,,,['https://pbs.twimg.com/media/FFh9c8jXsAAtEXc?format=jpg&name=small'],https://twitter.com/U_ElBosque/status/1466059622356238336
7,Cristian Julian,@cjulianlozano,2021-12-01T00:01:49.000Z,"Cristian Julian
@cjulianlozano
·
30 nov.","Mamado de ser adulto y tener que trabajar para pagarle a 
@Davivienda",,,,,[],https://twitter.com/cjulianlozano/status/1465833475890679808
8,Santiago Parra Angel,@SantiagoParraA2,2021-12-01T01:31:18.000Z,"Santiago Parra Angel
@SantiagoParraA2
·
30 nov.","#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda
1",,,,1,[],https://twitter.com/SantiagoParraA2/status/1465855997101154304
9,Andres Moreno Jaramillo,@andresmania,2021-12-01T04:27:27.000Z,"Andres Moreno Jaramillo
@andresmania
·
30 nov.","Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda

¿Se repetirá 2021-2030?
Andres Palacios
@Palacios_Andres
 · 30 nov.
La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate
1
1
6",📊,1,1,6,['https://pbs.twimg.com/profile_images/1420375082237579273/4p1Bm36R_mini.jpg'],https://twitter.com/andresmania/status/1465900328138813447
10,John Jairo Peralta Bernal,@JohnJairoPe,2021-12-01T04:58:05.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
30 nov.","En respuesta a 
@Carlosc30443031
 y 
@Davivienda
No somos pocos si no muchos, unamonos y denunciemos esto a la súper financiera, la unión hace la fuerza
1
1",,,1,1,[],https://twitter.com/JohnJairoPe/status/1465908036933984256
11,Daniel Sanclemente,@Dsanclemente219,2021-12-01T17:06:27.000Z,"Daniel Sanclemente
@Dsanclemente219
·
1 dic.","Llevo toda la mañana tratando de realizar un pago por PSE en 
@Davivienda
 ha sido imposible. Acaban con la poca paciencia que tengo.
2
1
1",,2,1,1,[],https://twitter.com/Dsanclemente219/status/1466091335576866829
12,Juliana,@JulianaUssa3,2021-12-01T17:33:05.000Z,"Juliana
@JulianaUssa3
·
1 dic.","Nunca usen los servicios de 
@DaviPlata
 @RappiPay
 y 
@Davivienda
 una atención al cliente desastrosa e ineficiente.
2
1",,2,,1,[],https://twitter.com/JulianaUssa3/status/1466098035587432460
13,DATAiFX,@dataiFX,2021-12-01T16:29:06.000Z,"DATAiFX
@dataiFX
·
1 dic.","Problemas de suministro volvieron a lastrar el crecimiento de la producción en noviembre: PMI Davivienda https://dataifx.com/post/problemas-de-suministro-volvieron-lastrar-el-crecimiento-de-la-produccion-en-noviembre-pmi… 
@Davivienda
2
1",,,2,1,['https://pbs.twimg.com/media/FFiRrQpXIAIAg7C?format=jpg&name=small'],https://twitter.com/dataiFX/status/1466081934413549568
14,Andrea Cabana D.,@andreaCabanaD,2021-12-01T13:24:36.000Z,"Andrea Cabana D.
@andreaCabanaD
·
1 dic.","Me quiero ir de 
@Bancolombia
. Pero no a Davivienda. Alguna recomendación?
3",,3,,,[],https://twitter.com/andreaCabanaD/status/1466035504827273219
15,DATAiFX,@dataiFX,2021-12-01T13:14:39.000Z,"DATAiFX
@dataiFX
·
1 dic.","#LiveDataiFX Lo que hoy debe saber I Davivienda Corredores https://bit.ly/3rr3ksg Por 
@davicorredores
 #LoQueHoyDebeSaber",,,,,['https://pbs.twimg.com/media/FFhlPkvXsAI5jid?format=jpg&name=small'],https://twitter.com/dataiFX/status/1466032998961364994
